Phase,State,Time Period,Time Period Label,Value
1,Iowa,4,May 21 - May 26,17.6
1,Kansas,4,May 21 - May 26,25.2
1,Kentucky,4,May 21 - May 26,23.2
1,Louisiana,4,May 21 - May 26,31.1
1,Maine,4,May 21 - May 26,18.5
1,Maryland,4,May 21 - May 26,22.9
1,Massachusetts,4,May 21 - May 26,20.3
1,Michigan,4,May 21 - May 26,25.1
1,Minnesota,4,May 21 - May 26,17.7
1,Mississippi,4,May 21 - May 26,27.7
1,Missouri,4,May 21 - May 26,24.3
1,Montana,4,May 21 - May 26,22.2
1,Nebraska,4,May 21 - May 26,17.2
1,Nevada,4,May 21 - May 26,27.1
1,New Hampshire,4,May 21 - May 26,22.2
1,New Jersey,4,May 21 - May 26,22.9
1,New Mexico,4,May 21 - May 26,28.7
1,New York,4,May 21 - May 26,23.7
1,North Carolina,4,May 21 - May 26,22.1
1,North Dakota,4,May 21 - May 26,19.8
1,Ohio,4,May 21 - May 26,27.4
1,Oklahoma,4,May 21 - May 26,27.5
1,Oregon,4,May 21 - May 26,24.2
1,Pennsylvania,4,May 21 - May 26,25.9
1,Rhode Island,4,May 21 - May 26,21.4
1,South Carolina,4,May 21 - May 26,21.7
1,South Dakota,4,May 21 - May 26,25.8
1,Tennessee,4,May 21 - May 26,22.5
1,Texas,4,May 21 - May 26,28.8
1,Utah,4,May 21 - May 26,24.9
1,Vermont,4,May 21 - May 26,19.4
1,Virginia,4,May 21 - May 26,22.3
1,Washington,4,May 21 - May 26,22.2
1,West Virginia,4,May 21 - May 26,22
1,Wisconsin,4,May 21 - May 26,20.8
1,Wyoming,4,May 21 - May 26,18.8
1,Alabama,5,May 28 - June 2,28.4
1,Alaska,5,May 28 - June 2,24.4
1,Arizona,5,May 28 - June 2,23.9
1,Arkansas,5,May 28 - June 2,28.9
1,California,5,May 28 - June 2,26.9
1,Colorado,5,May 28 - June 2,23.9
1,Connecticut,5,May 28 - June 2,25.4
1,Delaware,5,May 28 - June 2,20.7
1,District of Columbia,5,May 28 - June 2,21.3
1,Florida,5,May 28 - June 2,29.6
1,Georgia,5,May 28 - June 2,24.5
1,Hawaii,5,May 28 - June 2,17
1,Idaho,5,May 28 - June 2,23.8
1,Illinois,5,May 28 - June 2,26.9
1,Indiana,5,May 28 - June 2,25.6
1,Iowa,5,May 28 - June 2,22.6
1,Kansas,5,May 28 - June 2,23.1
1,Kentucky,5,May 28 - June 2,28.5
1,Louisiana,5,May 28 - June 2,26.8
1,Maine,5,May 28 - June 2,18.5
1,Maryland,5,May 28 - June 2,21.9
1,Massachusetts,5,May 28 - June 2,20.3
1,Michigan,5,May 28 - June 2,25.9
1,Minnesota,5,May 28 - June 2,19.1
1,Mississippi,5,May 28 - June 2,28.6
1,Missouri,5,May 28 - June 2,24.5
1,Montana,5,May 28 - June 2,20.5
1,Nebraska,5,May 28 - June 2,18.2
1,Nevada,5,May 28 - June 2,20.2
1,New Hampshire,5,May 28 - June 2,22.6
1,New Jersey,5,May 28 - June 2,25.8
1,New Mexico,5,May 28 - June 2,24.3
1,New York,5,May 28 - June 2,24.5
1,North Carolina,5,May 28 - June 2,22.3
1,North Dakota,5,May 28 - June 2,19.3
1,Ohio,5,May 28 - June 2,28.1
1,Oklahoma,5,May 28 - June 2,31.8
1,Oregon,5,May 28 - June 2,27.6
1,Pennsylvania,5,May 28 - June 2,24.6
1,Rhode Island,5,May 28 - June 2,22.3
1,South Carolina,5,May 28 - June 2,28.8
1,South Dakota,5,May 28 - June 2,20
1,Tennessee,5,May 28 - June 2,22.9
1,Texas,5,May 28 - June 2,26.2
1,Utah,5,May 28 - June 2,22.3
1,Vermont,5,May 28 - June 2,23.5
1,Virginia,5,May 28 - June 2,21.4
1,Washington,5,May 28 - June 2,27.1
1,West Virginia,5,May 28 - June 2,26.2
1,Wisconsin,5,May 28 - June 2,17.7
1,Wyoming,5,May 28 - June 2,25.2
1,Alabama,6,June 4 - June 9,27.7
1,Alaska,6,June 4 - June 9,21.5
1,Arizona,6,June 4 - June 9,26.5
1,Arkansas,6,June 4 - June 9,26.5
1,California,6,June 4 - June 9,28.6
1,Colorado,6,June 4 - June 9,23.9
1,Connecticut,6,June 4 - June 9,20.7
1,Delaware,6,June 4 - June 9,25.3
1,District of Columbia,6,June 4 - June 9,25.9
1,Florida,6,June 4 - June 9,30.2
1,Georgia,6,June 4 - June 9,25.6
1,Hawaii,6,June 4 - June 9,19.5
1,Idaho,6,June 4 - June 9,19.2
1,Illinois,6,June 4 - June 9,27.9
1,Indiana,6,June 4 - June 9,22.2
1,Iowa,6,June 4 - June 9,25.7
1,Kansas,6,June 4 - June 9,28.6
1,Kentucky,6,June 4 - June 9,25.5
1,Louisiana,6,June 4 - June 9,28.4
1,Maine,6,June 4 - June 9,20.6
1,Maryland,6,June 4 - June 9,18.4
1,Massachusetts,6,June 4 - June 9,21.8
1,Michigan,6,June 4 - June 9,19.1
1,Minnesota,6,June 4 - June 9,19.7
1,Mississippi,6,June 4 - June 9,29.6
1,Missouri,6,June 4 - June 9,23.1
1,Montana,6,June 4 - June 9,17.5
1,Nebraska,6,June 4 - June 9,21.7
1,Nevada,6,June 4 - June 9,27.6
1,New Hampshire,6,June 4 - June 9,26.2
1,New Jersey,6,June 4 - June 9,21.8
1,New Mexico,6,June 4 - June 9,23.7
1,New York,6,June 4 - June 9,28.5
1,North Carolina,6,June 4 - June 9,21.6
1,North Dakota,6,June 4 - June 9,14.7
1,Ohio,6,June 4 - June 9,26.4
1,Oklahoma,6,June 4 - June 9,24.7
1,Oregon,6,June 4 - June 9,27.1
1,Pennsylvania,6,June 4 - June 9,24.7
1,Rhode Island,6,June 4 - June 9,19
1,South Carolina,6,June 4 - June 9,25
1,South Dakota,6,June 4 - June 9,21.2
1,Tennessee,6,June 4 - June 9,27.2
1,Texas,6,June 4 - June 9,30.3
1,Utah,6,June 4 - June 9,25.3
1,Vermont,6,June 4 - June 9,25.1
1,Virginia,6,June 4 - June 9,27.5
1,Washington,6,June 4 - June 9,21.4
1,West Virginia,6,June 4 - June 9,27.9
1,Wisconsin,6,June 4 - June 9,19.5
1,Wyoming,6,June 4 - June 9,20.9
1,Alabama,7,June 11 - June 16,26.7
1,Alaska,7,June 11 - June 16,23.5
1,Arizona,7,June 11 - June 16,25
1,Arkansas,7,June 11 - June 16,29.6
1,California,7,June 11 - June 16,27.2
1,Colorado,7,June 11 - June 16,22.1
1,Connecticut,7,June 11 - June 16,25.5
1,Delaware,7,June 11 - June 16,24.4
1,District of Columbia,7,June 11 - June 16,16.3
1,Florida,7,June 11 - June 16,28.1
1,Georgia,7,June 11 - June 16,25.7
1,Hawaii,7,June 11 - June 16,26.8
1,Idaho,7,June 11 - June 16,14.3
1,Illinois,7,June 11 - June 16,24.8
1,Indiana,7,June 11 - June 16,26.6
1,Iowa,7,June 11 - June 16,22.4
1,Kansas,7,June 11 - June 16,24.6
1,Kentucky,7,June 11 - June 16,22.6
1,Louisiana,7,June 11 - June 16,34.5
1,Maine,7,June 11 - June 16,23.7
1,Maryland,7,June 11 - June 16,27.9
1,Massachusetts,7,June 11 - June 16,17
1,Michigan,7,June 11 - June 16,21.4
1,Minnesota,7,June 11 - June 16,19.9
1,Mississippi,7,June 11 - June 16,24.8
1,Missouri,7,June 11 - June 16,26.1
1,Montana,7,June 11 - June 16,21.8
1,Nebraska,7,June 11 - June 16,20.3
1,Nevada,7,June 11 - June 16,30.4
1,New Hampshire,7,June 11 - June 16,21.7
1,New Jersey,7,June 11 - June 16,26.9
1,New Mexico,7,June 11 - June 16,18.8
1,New York,7,June 11 - June 16,23.4
1,North Carolina,7,June 11 - June 16,23.9
1,North Dakota,7,June 11 - June 16,23.4
1,Ohio,7,June 11 - June 16,26.8
1,Oklahoma,7,June 11 - June 16,22.5
1,Oregon,7,June 11 - June 16,31.1
1,Pennsylvania,7,June 11 - June 16,25.5
1,Rhode Island,7,June 11 - June 16,24.1
1,South Carolina,7,June 11 - June 16,28.1
1,South Dakota,7,June 11 - June 16,19.2
1,Tennessee,7,June 11 - June 16,21.5
1,Texas,7,June 11 - June 16,27.6
1,Utah,7,June 11 - June 16,18.5
1,Vermont,7,June 11 - June 16,26.2
1,Virginia,7,June 11 - June 16,23.3
1,Washington,7,June 11 - June 16,22.5
1,West Virginia,7,June 11 - June 16,23.5
1,Wisconsin,7,June 11 - June 16,17.5
1,Wyoming,7,June 11 - June 16,18.9
1,Alabama,8,June 18 - June 23,27.5
1,Alaska,8,June 18 - June 23,25.7
1,Arizona,8,June 18 - June 23,28.9
1,Arkansas,8,June 18 - June 23,28.7
1,California,8,June 18 - June 23,26.4
1,Colorado,8,June 18 - June 23,23
1,Connecticut,8,June 18 - June 23,28.7
1,Delaware,8,June 18 - June 23,22.9
1,District of Columbia,8,June 18 - June 23,31
1,Florida,8,June 18 - June 23,28.8
1,Georgia,8,June 18 - June 23,27.9
1,Hawaii,8,June 18 - June 23,18.3
1,Idaho,8,June 18 - June 23,23
1,Illinois,8,June 18 - June 23,23.8
1,Indiana,8,June 18 - June 23,23.7
1,Iowa,8,June 18 - June 23,26.1
1,Kansas,8,June 18 - June 23,24.4
1,Kentucky,8,June 18 - June 23,29
1,Louisiana,8,June 18 - June 23,35.6
1,Maine,8,June 18 - June 23,19
1,Maryland,8,June 18 - June 23,22
1,Massachusetts,8,June 18 - June 23,22.8
1,Michigan,8,June 18 - June 23,23.3
1,Minnesota,8,June 18 - June 23,21.5
1,Mississippi,8,June 18 - June 23,29.3
1,Missouri,8,June 18 - June 23,25
1,Montana,8,June 18 - June 23,21.6
1,Nebraska,8,June 18 - June 23,22.1
1,Nevada,8,June 18 - June 23,32.5
1,New Hampshire,8,June 18 - June 23,23
1,New Jersey,8,June 18 - June 23,24.4
1,New Mexico,8,June 18 - June 23,29.4
1,New York,8,June 18 - June 23,24.2
1,North Carolina,8,June 18 - June 23,22.5
1,North Dakota,8,June 18 - June 23,25.1
1,Ohio,8,June 18 - June 23,21.5
1,Oklahoma,8,June 18 - June 23,33.2
1,Oregon,8,June 18 - June 23,31
1,Pennsylvania,8,June 18 - June 23,27.3
1,Rhode Island,8,June 18 - June 23,22.1
1,South Carolina,8,June 18 - June 23,22.4
1,South Dakota,8,June 18 - June 23,21.7
1,Tennessee,8,June 18 - June 23,26.8
1,Texas,8,June 18 - June 23,25.6
1,Utah,8,June 18 - June 23,27.3
1,Vermont,8,June 18 - June 23,18.4
1,Virginia,8,June 18 - June 23,26.9
1,Washington,8,June 18 - June 23,26.4
1,West Virginia,8,June 18 - June 23,30.2
1,Wisconsin,8,June 18 - June 23,15.7
1,Wyoming,8,June 18 - June 23,17.6
1,Alabama,9,June 25 - June 30,26.5
1,Alaska,9,June 25 - June 30,23.8
1,Arizona,9,June 25 - June 30,32.7
1,Arkansas,9,June 25 - June 30,29.6
1,California,9,June 25 - June 30,27.6
1,Colorado,9,June 25 - June 30,26.1
1,Connecticut,9,June 25 - June 30,24
1,Delaware,9,June 25 - June 30,25.4
1,District of Columbia,9,June 25 - June 30,27.6
1,Florida,9,June 25 - June 30,31.8
1,Georgia,9,June 25 - June 30,31.4
1,Hawaii,9,June 25 - June 30,28.2
1,Idaho,9,June 25 - June 30,29.5
1,Illinois,9,June 25 - June 30,28.1
1,Indiana,9,June 25 - June 30,26.2
1,Iowa,9,June 25 - June 30,23.1
1,Kansas,9,June 25 - June 30,20.9
1,Kentucky,9,June 25 - June 30,26.4
1,Louisiana,9,June 25 - June 30,32.2
1,Maine,9,June 25 - June 30,23.8
1,Maryland,9,June 25 - June 30,22.1
1,Massachusetts,9,June 25 - June 30,24.2
1,Michigan,9,June 25 - June 30,23.5
1,Minnesota,9,June 25 - June 30,22.3
1,Mississippi,9,June 25 - June 30,34.4
1,Missouri,9,June 25 - June 30,25.6
1,Montana,9,June 25 - June 30,22.2
1,Nebraska,9,June 25 - June 30,22
1,Nevada,9,June 25 - June 30,26.8
1,New Hampshire,9,June 25 - June 30,24.3
1,New Jersey,9,June 25 - June 30,24.2
1,New Mexico,9,June 25 - June 30,29.7
1,New York,9,June 25 - June 30,23.9
1,North Carolina,9,June 25 - June 30,22.7
1,North Dakota,9,June 25 - June 30,25
1,Ohio,9,June 25 - June 30,23.3
1,Oklahoma,9,June 25 - June 30,32.8
1,Oregon,9,June 25 - June 30,27.1
1,Pennsylvania,9,June 25 - June 30,26.5
1,Rhode Island,9,June 25 - June 30,24
1,South Carolina,9,June 25 - June 30,28.9
1,South Dakota,9,June 25 - June 30,25.1
1,Tennessee,9,June 25 - June 30,30.5
1,Texas,9,June 25 - June 30,28.2
1,Utah,9,June 25 - June 30,26
1,Vermont,9,June 25 - June 30,22.3
1,Virginia,9,June 25 - June 30,24.2
1,Washington,9,June 25 - June 30,31.1
1,West Virginia,9,June 25 - June 30,34.5
1,Wisconsin,9,June 25 - June 30,19
1,Wyoming,9,June 25 - June 30,23.4
1,Alabama,10,July 2 - July 7,28.6
1,Alaska,10,July 2 - July 7,21.5
1,Arizona,10,July 2 - July 7,31.3
1,Arkansas,10,July 2 - July 7,30.2
1,California,10,July 2 - July 7,27.6
1,Colorado,10,July 2 - July 7,30
1,Connecticut,10,July 2 - July 7,26.3
1,Delaware,10,July 2 - July 7,22.7
1,District of Columbia,10,July 2 - July 7,24.9
1,Florida,10,July 2 - July 7,27.9
1,Georgia,10,July 2 - July 7,27.1
1,Hawaii,10,July 2 - July 7,28.9
1,Idaho,10,July 2 - July 7,25.6
1,Illinois,10,July 2 - July 7,27.6
1,Indiana,10,July 2 - July 7,27.7
1,Iowa,10,July 2 - July 7,17.5
1,Kansas,10,July 2 - July 7,21.5
1,Kentucky,10,July 2 - July 7,27.4
1,Louisiana,10,July 2 - July 7,33.5
1,Maine,10,July 2 - July 7,26.6
1,Maryland,10,July 2 - July 7,22.5
1,Massachusetts,10,July 2 - July 7,21.8
1,Michigan,10,July 2 - July 7,26.6
1,Minnesota,10,July 2 - July 7,20.9
1,Mississippi,10,July 2 - July 7,32
1,Missouri,10,July 2 - July 7,28.8
1,Montana,10,July 2 - July 7,23.8
1,Nebraska,10,July 2 - July 7,23.6
1,Nevada,10,July 2 - July 7,34.6
1,New Hampshire,10,July 2 - July 7,19.7
1,New Jersey,10,July 2 - July 7,25.9
1,New Mexico,10,July 2 - July 7,32.5
1,New York,10,July 2 - July 7,28.5
1,North Carolina,10,July 2 - July 7,28.3
1,North Dakota,10,July 2 - July 7,23
1,Ohio,10,July 2 - July 7,25.6
1,Oklahoma,10,July 2 - July 7,29.4
1,Oregon,10,July 2 - July 7,29.9
1,Pennsylvania,10,July 2 - July 7,26
1,Rhode Island,10,July 2 - July 7,22.8
1,South Carolina,10,July 2 - July 7,29.3
1,South Dakota,10,July 2 - July 7,26.7
1,Tennessee,10,July 2 - July 7,31.7
1,Texas,10,July 2 - July 7,30.5
1,Utah,10,July 2 - July 7,25
1,Vermont,10,July 2 - July 7,22.2
1,Virginia,10,July 2 - July 7,29.5
1,Washington,10,July 2 - July 7,27.8
1,West Virginia,10,July 2 - July 7,24.2
1,Wisconsin,10,July 2 - July 7,24.6
1,Wyoming,10,July 2 - July 7,26.5
1,Alabama,11,July 9 - July 14,30.4
1,Alaska,11,July 9 - July 14,27.4
1,Arizona,11,July 9 - July 14,33.9
1,Arkansas,11,July 9 - July 14,34.8
1,California,11,July 9 - July 14,31.8
1,Colorado,11,July 9 - July 14,26.1
1,Connecticut,11,July 9 - July 14,26.7
1,Delaware,11,July 9 - July 14,23.3
1,District of Columbia,11,July 9 - July 14,20.8
1,Florida,11,July 9 - July 14,31.7
1,Georgia,11,July 9 - July 14,29
1,Hawaii,11,July 9 - July 14,28.3
1,Idaho,11,July 9 - July 14,27.5
1,Illinois,11,July 9 - July 14,23.7
1,Indiana,11,July 9 - July 14,29.4
1,Iowa,11,July 9 - July 14,17.7
1,Kansas,11,July 9 - July 14,24.8
1,Kentucky,11,July 9 - July 14,30.7
1,Louisiana,11,July 9 - July 14,31.1
1,Maine,11,July 9 - July 14,22.4
1,Maryland,11,July 9 - July 14,22.2
1,Massachusetts,11,July 9 - July 14,23.8
1,Michigan,11,July 9 - July 14,23
1,Minnesota,11,July 9 - July 14,22
1,Mississippi,11,July 9 - July 14,36.1
1,Missouri,11,July 9 - July 14,25.8
1,Montana,11,July 9 - July 14,28.5
1,Nebraska,11,July 9 - July 14,26.4
1,Nevada,11,July 9 - July 14,33.3
1,New Hampshire,11,July 9 - July 14,28.7
1,New Jersey,11,July 9 - July 14,28.7
1,New Mexico,11,July 9 - July 14,30.1
